id,question,answer,category,keywords,source_type
16,치매 관련해서 운동은 어떤 종류가 좋은가요 궁금해요?,"걷기, 가벼운 스트레칭, 무리가 적은 유산소 운동부터 시작하는 것이 좋습니다. 증상이 지속되거나 일상생활에 불편이 생기면 전문가 상담을 받아보는 것이 좋습니다.",운동,"운동종류,산책,스트레칭",manual
17,치매를 예방하려면 어떻게 해야 하나요  알려주세요?,"규칙적인 운동, 충분한 수면, 균형 잡힌 식사, 사회활동, 인지활동이 인지 건강 관리에 도움이 될 수 있습니다. 개인 상태에 따라 차이가 있을 수 있으므로 생활습관과 증상의 변화를 함께 살펴보는 것이 중요합니다.",예방,"치매예방,운동,수면,식사",manual
18,사회활동이 왜 중요한가요 비슷한 경우에는 어떻게 해야 하나요?,사회적 교류는 정서적 안정과 인지 자극에 도움이 될 수 있어 꾸준한 소통이 중요합니다. 불안이 크다면 혼자 판단하기보다 전문적인 도움을 받는 편이 더 안전합니다.,사회활동,"사회활동,교류,정서",manual
19,식습관도 인지 건강과 관련이 있나요  알려주세요?,균형 잡힌 식사와 규칙적인 식습관은 전반적인 건강 유지에 중요하며 인지 건강 관리에도 도움이 될 수 있습니다. 개인 상태에 따라 차이가 있을 수 있으므로 생활습관과 증상의 변화를 함께 살펴보는 것이 중요합니다.,식습관,"식습관,영양,인지건강",manual
20,인지활동에는 어떤 것이 있나요 비슷한 경우에는 어떻게 해야 하나요?,"독서, 퍼즐, 단어 연상, 숫자 기억하기, 새로운 취미 배우기 같은 활동이 인지 자극에 도움이 됩니다. 무리한 자가 판단보다는 꾸준한 관찰과 기본 생활관리부터 시작하는 것이 좋습니다.",인지활동,"독서,퍼즐,인지활동",manual
21,운동은 어떤 종류가 좋은가요?,"걷기, 가벼운 스트레칭, 무리가 적은 유산소 운동부터 시작하는 것이 좋습니다. 증상이 지속되거나 일상생활에 불편이 생기면 전문가 상담을 받아보는 것이 좋습니다.",운동,"운동종류,산책,스트레칭",manual
22,치매 관련해서 사회활동이 왜 중요한가요 주의할 점도 있나요?,사회적 교류는 정서적 안정과 인지 자극에 도움이 될 수 있어 꾸준한 소통이 중요합니다. 개인 상태에 따라 차이가 있을 수 있으므로 생활습관과 증상의 변화를 함께 살펴보는 것이 중요합니다.,사회활동,"사회활동,교류,정서",manual
23,인지활동에는 어떤 것이 있나요 비슷한 경우에는 어떻게 해야 하나요?,"독서, 퍼즐, 단어 연상, 숫자 기억하기, 새로운 취미 배우기 같은 활동이 인지 자극에 도움이 됩니다. 무리한 자가 판단보다는 꾸준한 관찰과 기본 생활관리부터 시작하는 것이 좋습니다.",인지활동,"독서,퍼즐,인지활동",manual
24,치매를 예방하려면 어떻게 해야 하나요 비슷한 경우에는 어떻게 해야 하나요?,"규칙적인 운동, 충분한 수면, 균형 잡힌 식사, 사회활동, 인지활동이 인지 건강 관리에 도움이 될 수 있습니다. 개인 상태에 따라 차이가 있을 수 있으므로 생활습관과 증상의 변화를 함께 살펴보는 것이 중요합니다.",예방,"치매예방,운동,수면,식사",manual
25,병원 상담은 언제 받아야 하나요 어떻게 봐야 하나요?,"기억력 저하가 반복되거나 시간·장소 혼동, 일상생활의 어려움이 함께 나타나면 상담을 고려하는 것이 좋습니다. 개인 상태에 따라 차이가 있을 수 있으므로 생활습관과 증상의 변화를 함께 살펴보는 것이 중요합니다.",상담,"병원,상담,시점",manual
26,기억력이 조금 나빠진 것 같으면 바로 치매인가요 실생활에서는 어떻게 대처하면 좋나요?,"기억력 저하가 있다고 해서 모두 치매는 아니며 스트레스, 수면 부족, 우울감 같은 다양한 원인도 영향을 줄 수 있습니다. 무리한 자가 판단보다는 꾸준한 관찰과 기본 생활관리부터 시작하는 것이 좋습니다.",기억력,"기억력저하,스트레스,수면",manual
27,부모님이 자주 잊어버리시는데 어떻게 대처해야 하나요 관련해서 자세히 알려주세요?,"바로 단정하기보다 증상이 언제부터 얼마나 자주 나타나는지 기록하고, 일상생활의 변화가 있는지 함께 살펴보는 것이 좋습니다. 증상이 지속되거나 일상생활에 불편이 생기면 전문가 상담을 받아보는 것이 좋습니다.",가족대처,"부모님,기억력,대처",manual
28,혹시 우울감과 기억력 저하는 관련이 있나요?,우울감과 스트레스는 기억력과 집중력에 영향을 줄 수 있어 정서 상태를 함께 살펴보는 것이 중요합니다. 개인 상태에 따라 차이가 있을 수 있으므로 생활습관과 증상의 변화를 함께 살펴보는 것이 중요합니다.,정서,"우울감,기억력,스트레스",manual
29,요즘 기억력이 조금 나빠진 것 같으면 바로 치매인가요 어떻게 봐야 하나요?,"기억력 저하가 있다고 해서 모두 치매는 아니며 스트레스, 수면 부족, 우울감 같은 다양한 원인도 영향을 줄 수 있습니다. 불안이 크다면 혼자 판단하기보다 전문적인 도움을 받는 편이 더 안전합니다.",기억력,"기억력저하,스트레스,수면",manual
30,인지활동에는 어떤 것이 있나요 관련해서 자세히 알려주세요?,"독서, 퍼즐, 단어 연상, 숫자 기억하기, 새로운 취미 배우기 같은 활동이 인지 자극에 도움이 됩니다. 개인 상태에 따라 차이가 있을 수 있으므로 생활습관과 증상의 변화를 함께 살펴보는 것이 중요합니다.",인지활동,"독서,퍼즐,인지활동",manual
31,치매를 예방하려면 어떻게 해야 하나요 실생활에서는 어떻게 대처하면 좋나요?,"규칙적인 운동, 충분한 수면, 균형 잡힌 식사, 사회활동, 인지활동이 인지 건강 관리에 도움이 될 수 있습니다. 무리한 자가 판단보다는 꾸준한 관찰과 기본 생활관리부터 시작하는 것이 좋습니다.",예방,"치매예방,운동,수면,식사",manual
32,운동이 인지 건강에 도움이 되나요  주의할 점도 있나요?,걷기와 같은 가벼운 유산소 운동은 전반적인 건강 유지와 인지 건강 관리에 긍정적인 영향을 줄 수 있습니다. 불안이 크다면 혼자 판단하기보다 전문적인 도움을 받는 편이 더 안전합니다.,운동,"운동,걷기,인지건강",manual
33,운동은 어떤 종류가 좋은가요?,"걷기, 가벼운 스트레칭, 무리가 적은 유산소 운동부터 시작하는 것이 좋습니다. 증상이 지속되거나 일상생활에 불편이 생기면 전문가 상담을 받아보는 것이 좋습니다.",운동,"운동종류,산책,스트레칭",manual
34,치매를 예방하려면 어떻게 해야 하나요 관련해서 자세히 알려주세요?,"규칙적인 운동, 충분한 수면, 균형 잡힌 식사, 사회활동, 인지활동이 인지 건강 관리에 도움이 될 수 있습니다. 개인 상태에 따라 차이가 있을 수 있으므로 생활습관과 증상의 변화를 함께 살펴보는 것이 중요합니다.",예방,"치매예방,운동,수면,식사",manual
35,부모님이 자주 잊어버리시는데 어떻게 대처해야 하나요 실생활에서는 어떻게 대처하면 좋나요?,"바로 단정하기보다 증상이 언제부터 얼마나 자주 나타나는지 기록하고, 일상생활의 변화가 있는지 함께 살펴보는 것이 좋습니다. 무리한 자가 판단보다는 꾸준한 관찰과 기본 생활관리부터 시작하는 것이 좋습니다.",가족대처,"부모님,기억력,대처",manual
36,인지활동에는 어떤 것이 있나요 어떻게 봐야 하나요?,"독서, 퍼즐, 단어 연상, 숫자 기억하기, 새로운 취미 배우기 같은 활동이 인지 자극에 도움이 됩니다. 무리한 자가 판단보다는 꾸준한 관찰과 기본 생활관리부터 시작하는 것이 좋습니다.",인지활동,"독서,퍼즐,인지활동",manual
37,부모님이 자주 잊어버리시는데 어떻게 대처해야 하나요 ?,"바로 단정하기보다 증상이 언제부터 얼마나 자주 나타나는지 기록하고, 일상생활의 변화가 있는지 함께 살펴보는 것이 좋습니다. 증상이 지속되거나 일상생활에 불편이 생기면 전문가 상담을 받아보는 것이 좋습니다.",가족대처,"부모님,기억력,대처",manual
38,기억력이 조금 나빠진 것 같으면 바로 치매인가요  쉽게 설명해줘요?,"기억력 저하가 있다고 해서 모두 치매는 아니며 스트레스, 수면 부족, 우울감 같은 다양한 원인도 영향을 줄 수 있습니다. 증상이 지속되거나 일상생활에 불편이 생기면 전문가 상담을 받아보는 것이 좋습니다.",기억력,"기억력저하,스트레스,수면",manual
39,가족이 도와줄 수 있는 방법은 무엇인가요 관련해서 자세히 알려주세요?,"정기적인 대화, 일정 확인, 약 복용 점검, 감정적 지지처럼 일상 속 작은 도움부터 시작하는 것이 좋습니다. 증상이 지속되거나 일상생활에 불편이 생기면 전문가 상담을 받아보는 것이 좋습니다.",가족대처,"가족,돌봄,지원",manual
40,치매가 의심되면 어떻게 해야 하나요?,기억력 저하나 일상생활의 어려움이 지속되면 전문 의료기관 상담을 받아보는 것이 좋습니다. 무리한 자가 판단보다는 꾸준한 관찰과 기본 생활관리부터 시작하는 것이 좋습니다.,상담,"치매의심,상담,의료기관",manual
41,치매 예방에 좋은 음식이 있나요 ?,"특정 음식 하나보다 채소, 생선, 견과류, 단백질, 수분을 포함한 균형 잡힌 식사가 더 중요합니다. 개인 상태에 따라 차이가 있을 수 있으므로 생활습관과 증상의 변화를 함께 살펴보는 것이 중요합니다.",식습관,"치매예방,음식,식습관",manual
42,기억력이 조금 나빠진 것 같으면 바로 치매인가요?,"기억력 저하가 있다고 해서 모두 치매는 아니며 스트레스, 수면 부족, 우울감 같은 다양한 원인도 영향을 줄 수 있습니다. 증상이 지속되거나 일상생활에 불편이 생기면 전문가 상담을 받아보는 것이 좋습니다.",기억력,"기억력저하,스트레스,수면",manual
43,식습관도 인지 건강과 관련이 있나요?,균형 잡힌 식사와 규칙적인 식습관은 전반적인 건강 유지에 중요하며 인지 건강 관리에도 도움이 될 수 있습니다. 개인 상태에 따라 차이가 있을 수 있으므로 생활습관과 증상의 변화를 함께 살펴보는 것이 중요합니다.,식습관,"식습관,영양,인지건강",manual
44,최근에 운동은 어떤 종류가 좋은가요  어떻게 봐야 하나요?,"걷기, 가벼운 스트레칭, 무리가 적은 유산소 운동부터 시작하는 것이 좋습니다. 불안이 크다면 혼자 판단하기보다 전문적인 도움을 받는 편이 더 안전합니다.",운동,"운동종류,산책,스트레칭",manual
45,운동은 어떤 종류가 좋은가요 비슷한 경우에는 어떻게 해야 하나요?,"걷기, 가벼운 스트레칭, 무리가 적은 유산소 운동부터 시작하는 것이 좋습니다. 불안이 크다면 혼자 판단하기보다 전문적인 도움을 받는 편이 더 안전합니다.",운동,"운동종류,산책,스트레칭",manual
46,운동은 어떤 종류가 좋은가요 실생활에서는 어떻게 대처하면 좋나요?,"걷기, 가벼운 스트레칭, 무리가 적은 유산소 운동부터 시작하는 것이 좋습니다. 불안이 크다면 혼자 판단하기보다 전문적인 도움을 받는 편이 더 안전합니다.",운동,"운동종류,산책,스트레칭",manual
47,치매가 의심되면 어떻게 해야 하나요 비슷한 경우에는 어떻게 해야 하나요?,기억력 저하나 일상생활의 어려움이 지속되면 전문 의료기관 상담을 받아보는 것이 좋습니다. 증상이 지속되거나 일상생활에 불편이 생기면 전문가 상담을 받아보는 것이 좋습니다.,상담,"치매의심,상담,의료기관",manual
48,가족이 도와줄 수 있는 방법은 무엇인가요 관련해서 자세히 알려주세요?,"정기적인 대화, 일정 확인, 약 복용 점검, 감정적 지지처럼 일상 속 작은 도움부터 시작하는 것이 좋습니다. 불안이 크다면 혼자 판단하기보다 전문적인 도움을 받는 편이 더 안전합니다.",가족대처,"가족,돌봄,지원",manual
49,부모님이 치매가 의심되면 어떻게 해야 하나요  어떻게 봐야 하나요?,기억력 저하나 일상생활의 어려움이 지속되면 전문 의료기관 상담을 받아보는 것이 좋습니다. 개인 상태에 따라 차이가 있을 수 있으므로 생활습관과 증상의 변화를 함께 살펴보는 것이 중요합니다.,상담,"치매의심,상담,의료기관",manual
50,요즘 잠을 잘 못 자면 기억력에 영향이 있나요 주의할 점도 있나요?,수면 부족은 집중력과 기억력 저하에 영향을 줄 수 있어 규칙적인 수면 습관이 중요합니다. 불안이 크다면 혼자 판단하기보다 전문적인 도움을 받는 편이 더 안전합니다.,수면,"수면,기억력,집중력",manual
51,기억력이 조금 나빠진 것 같으면 바로 치매인가요 관련해서 자세히 알려주세요?,"기억력 저하가 있다고 해서 모두 치매는 아니며 스트레스, 수면 부족, 우울감 같은 다양한 원인도 영향을 줄 수 있습니다. 불안이 크다면 혼자 판단하기보다 전문적인 도움을 받는 편이 더 안전합니다.",기억력,"기억력저하,스트레스,수면",manual
52,혹시 인지활동에는 어떤 것이 있나요 알려주세요?,"독서, 퍼즐, 단어 연상, 숫자 기억하기, 새로운 취미 배우기 같은 활동이 인지 자극에 도움이 됩니다. 무리한 자가 판단보다는 꾸준한 관찰과 기본 생활관리부터 시작하는 것이 좋습니다.",인지활동,"독서,퍼즐,인지활동",manual
53,잠을 잘 못 자면 기억력에 영향이 있나요?,수면 부족은 집중력과 기억력 저하에 영향을 줄 수 있어 규칙적인 수면 습관이 중요합니다. 증상이 지속되거나 일상생활에 불편이 생기면 전문가 상담을 받아보는 것이 좋습니다.,수면,"수면,기억력,집중력",manual
54,기억력이 조금 나빠진 것 같으면 바로 치매인가요 비슷한 경우에는 어떻게 해야 하나요?,"기억력 저하가 있다고 해서 모두 치매는 아니며 스트레스, 수면 부족, 우울감 같은 다양한 원인도 영향을 줄 수 있습니다. 개인 상태에 따라 차이가 있을 수 있으므로 생활습관과 증상의 변화를 함께 살펴보는 것이 중요합니다.",기억력,"기억력저하,스트레스,수면",manual
55,치매 초기 증상은 무엇인가요  어떻게 봐야 하나요?,치매 초기에는 최근 일을 잊거나 같은 질문을 반복하고 시간이나 장소를 혼동하는 증상이 나타날 수 있습니다. 증상이 지속되거나 일상생활에 불편이 생기면 전문가 상담을 받아보는 것이 좋습니다.,초기증상,"치매,초기증상,기억력",manual
56,요즘 인지활동에는 어떤 것이 있나요 어떻게 봐야 하나요?,"독서, 퍼즐, 단어 연상, 숫자 기억하기, 새로운 취미 배우기 같은 활동이 인지 자극에 도움이 됩니다. 개인 상태에 따라 차이가 있을 수 있으므로 생활습관과 증상의 변화를 함께 살펴보는 것이 중요합니다.",인지활동,"독서,퍼즐,인지활동",manual
57,식습관도 인지 건강과 관련이 있나요?,균형 잡힌 식사와 규칙적인 식습관은 전반적인 건강 유지에 중요하며 인지 건강 관리에도 도움이 될 수 있습니다. 개인 상태에 따라 차이가 있을 수 있으므로 생활습관과 증상의 변화를 함께 살펴보는 것이 중요합니다.,식습관,"식습관,영양,인지건강",manual
58,치매 초기 증상은 무엇인가요 실생활에서는 어떻게 대처하면 좋나요?,치매 초기에는 최근 일을 잊거나 같은 질문을 반복하고 시간이나 장소를 혼동하는 증상이 나타날 수 있습니다. 증상이 지속되거나 일상생활에 불편이 생기면 전문가 상담을 받아보는 것이 좋습니다.,초기증상,"치매,초기증상,기억력",manual
59,기억력이 조금 나빠진 것 같으면 바로 치매인가요 실생활에서는 어떻게 대처하면 좋나요?,"기억력 저하가 있다고 해서 모두 치매는 아니며 스트레스, 수면 부족, 우울감 같은 다양한 원인도 영향을 줄 수 있습니다. 무리한 자가 판단보다는 꾸준한 관찰과 기본 생활관리부터 시작하는 것이 좋습니다.",기억력,"기억력저하,스트레스,수면",manual
60,최근에 기억력이 조금 나빠진 것 같으면 바로 치매인가요?,"기억력 저하가 있다고 해서 모두 치매는 아니며 스트레스, 수면 부족, 우울감 같은 다양한 원인도 영향을 줄 수 있습니다. 불안이 크다면 혼자 판단하기보다 전문적인 도움을 받는 편이 더 안전합니다.",기억력,"기억력저하,스트레스,수면",manual
61,병원 상담은 언제 받아야 하나요 관련해서 자세히 알려주세요?,"기억력 저하가 반복되거나 시간·장소 혼동, 일상생활의 어려움이 함께 나타나면 상담을 고려하는 것이 좋습니다. 증상이 지속되거나 일상생활에 불편이 생기면 전문가 상담을 받아보는 것이 좋습니다.",상담,"병원,상담,시점",manual
62,요즘 치매 예방에 좋은 음식이 있나요 알려주세요?,"특정 음식 하나보다 채소, 생선, 견과류, 단백질, 수분을 포함한 균형 잡힌 식사가 더 중요합니다. 불안이 크다면 혼자 판단하기보다 전문적인 도움을 받는 편이 더 안전합니다.",식습관,"치매예방,음식,식습관",manual
63,우울감과 기억력 저하는 관련이 있나요 관련해서 자세히 알려주세요?,우울감과 스트레스는 기억력과 집중력에 영향을 줄 수 있어 정서 상태를 함께 살펴보는 것이 중요합니다. 불안이 크다면 혼자 판단하기보다 전문적인 도움을 받는 편이 더 안전합니다.,정서,"우울감,기억력,스트레스",manual
64,사회활동이 왜 중요한가요 비슷한 경우에는 어떻게 해야 하나요?,사회적 교류는 정서적 안정과 인지 자극에 도움이 될 수 있어 꾸준한 소통이 중요합니다. 불안이 크다면 혼자 판단하기보다 전문적인 도움을 받는 편이 더 안전합니다.,사회활동,"사회활동,교류,정서",manual
65,병원 상담은 언제 받아야 하나요?,"기억력 저하가 반복되거나 시간·장소 혼동, 일상생활의 어려움이 함께 나타나면 상담을 고려하는 것이 좋습니다. 불안이 크다면 혼자 판단하기보다 전문적인 도움을 받는 편이 더 안전합니다.",상담,"병원,상담,시점",manual
66,기억력이 조금 나빠진 것 같으면 바로 치매인가요 실생활에서는 어떻게 대처하면 좋나요?,"기억력 저하가 있다고 해서 모두 치매는 아니며 스트레스, 수면 부족, 우울감 같은 다양한 원인도 영향을 줄 수 있습니다. 증상이 지속되거나 일상생활에 불편이 생기면 전문가 상담을 받아보는 것이 좋습니다.",기억력,"기억력저하,스트레스,수면",manual
67,우울감과 기억력 저하는 관련이 있나요 비슷한 경우에는 어떻게 해야 하나요?,우울감과 스트레스는 기억력과 집중력에 영향을 줄 수 있어 정서 상태를 함께 살펴보는 것이 중요합니다. 무리한 자가 판단보다는 꾸준한 관찰과 기본 생활관리부터 시작하는 것이 좋습니다.,정서,"우울감,기억력,스트레스",manual
68,치매 초기 증상은 무엇인가요 비슷한 경우에는 어떻게 해야 하나요?,치매 초기에는 최근 일을 잊거나 같은 질문을 반복하고 시간이나 장소를 혼동하는 증상이 나타날 수 있습니다. 개인 상태에 따라 차이가 있을 수 있으므로 생활습관과 증상의 변화를 함께 살펴보는 것이 중요합니다.,초기증상,"치매,초기증상,기억력",manual
69,인지활동에는 어떤 것이 있나요 관련해서 자세히 알려주세요?,"독서, 퍼즐, 단어 연상, 숫자 기억하기, 새로운 취미 배우기 같은 활동이 인지 자극에 도움이 됩니다. 무리한 자가 판단보다는 꾸준한 관찰과 기본 생활관리부터 시작하는 것이 좋습니다.",인지활동,"독서,퍼즐,인지활동",manual
70,가족이 도와줄 수 있는 방법은 무엇인가요 관련해서 자세히 알려주세요?,"정기적인 대화, 일정 확인, 약 복용 점검, 감정적 지지처럼 일상 속 작은 도움부터 시작하는 것이 좋습니다. 불안이 크다면 혼자 판단하기보다 전문적인 도움을 받는 편이 더 안전합니다.",가족대처,"가족,돌봄,지원",manual
71,치매 관련해서 운동은 어떤 종류가 좋은가요  어떻게 봐야 하나요?,"걷기, 가벼운 스트레칭, 무리가 적은 유산소 운동부터 시작하는 것이 좋습니다. 불안이 크다면 혼자 판단하기보다 전문적인 도움을 받는 편이 더 안전합니다.",운동,"운동종류,산책,스트레칭",manual
72,치매를 예방하려면 어떻게 해야 하나요?,"규칙적인 운동, 충분한 수면, 균형 잡힌 식사, 사회활동, 인지활동이 인지 건강 관리에 도움이 될 수 있습니다. 증상이 지속되거나 일상생활에 불편이 생기면 전문가 상담을 받아보는 것이 좋습니다.",예방,"치매예방,운동,수면,식사",manual
73,사회활동이 왜 중요한가요 비슷한 경우에는 어떻게 해야 하나요?,사회적 교류는 정서적 안정과 인지 자극에 도움이 될 수 있어 꾸준한 소통이 중요합니다. 무리한 자가 판단보다는 꾸준한 관찰과 기본 생활관리부터 시작하는 것이 좋습니다.,사회활동,"사회활동,교류,정서",manual
74,운동은 어떤 종류가 좋은가요 비슷한 경우에는 어떻게 해야 하나요?,"걷기, 가벼운 스트레칭, 무리가 적은 유산소 운동부터 시작하는 것이 좋습니다. 무리한 자가 판단보다는 꾸준한 관찰과 기본 생활관리부터 시작하는 것이 좋습니다.",운동,"운동종류,산책,스트레칭",manual
75,혹시 치매가 의심되면 어떻게 해야 하나요 궁금해요?,기억력 저하나 일상생활의 어려움이 지속되면 전문 의료기관 상담을 받아보는 것이 좋습니다. 개인 상태에 따라 차이가 있을 수 있으므로 생활습관과 증상의 변화를 함께 살펴보는 것이 중요합니다.,상담,"치매의심,상담,의료기관",manual
76,기억력이 조금 나빠진 것 같으면 바로 치매인가요 관련해서 자세히 알려주세요?,"기억력 저하가 있다고 해서 모두 치매는 아니며 스트레스, 수면 부족, 우울감 같은 다양한 원인도 영향을 줄 수 있습니다. 불안이 크다면 혼자 판단하기보다 전문적인 도움을 받는 편이 더 안전합니다.",기억력,"기억력저하,스트레스,수면",manual
77,운동이 인지 건강에 도움이 되나요 비슷한 경우에는 어떻게 해야 하나요?,걷기와 같은 가벼운 유산소 운동은 전반적인 건강 유지와 인지 건강 관리에 긍정적인 영향을 줄 수 있습니다. 무리한 자가 판단보다는 꾸준한 관찰과 기본 생활관리부터 시작하는 것이 좋습니다.,운동,"운동,걷기,인지건강",manual
78,식습관도 인지 건강과 관련이 있나요 궁금해요?,균형 잡힌 식사와 규칙적인 식습관은 전반적인 건강 유지에 중요하며 인지 건강 관리에도 도움이 될 수 있습니다. 불안이 크다면 혼자 판단하기보다 전문적인 도움을 받는 편이 더 안전합니다.,식습관,"식습관,영양,인지건강",manual
79,가족이 도와줄 수 있는 방법은 무엇인가요 비슷한 경우에는 어떻게 해야 하나요?,"정기적인 대화, 일정 확인, 약 복용 점검, 감정적 지지처럼 일상 속 작은 도움부터 시작하는 것이 좋습니다. 증상이 지속되거나 일상생활에 불편이 생기면 전문가 상담을 받아보는 것이 좋습니다.",가족대처,"가족,돌봄,지원",manual
80,최근에 치매가 의심되면 어떻게 해야 하나요 어떻게 봐야 하나요?,기억력 저하나 일상생활의 어려움이 지속되면 전문 의료기관 상담을 받아보는 것이 좋습니다. 개인 상태에 따라 차이가 있을 수 있으므로 생활습관과 증상의 변화를 함께 살펴보는 것이 중요합니다.,상담,"치매의심,상담,의료기관",manual
81,최근에 식습관도 인지 건강과 관련이 있나요?,균형 잡힌 식사와 규칙적인 식습관은 전반적인 건강 유지에 중요하며 인지 건강 관리에도 도움이 될 수 있습니다. 증상이 지속되거나 일상생활에 불편이 생기면 전문가 상담을 받아보는 것이 좋습니다.,식습관,"식습관,영양,인지건강",manual
82,최근에 사회활동이 왜 중요한가요  주의할 점도 있나요?,사회적 교류는 정서적 안정과 인지 자극에 도움이 될 수 있어 꾸준한 소통이 중요합니다. 개인 상태에 따라 차이가 있을 수 있으므로 생활습관과 증상의 변화를 함께 살펴보는 것이 중요합니다.,사회활동,"사회활동,교류,정서",manual
